ID_POBYTU;PESEL;DATA_PRZYJAZDU;LICZBA_TYGODNI;NFZ
1183;63080136302;2019-08-24;2;0
1185;67100795090;2019-03-02;2;1
1187;94090640262;2019-01-07;2;1
1189;88010139363;2019-11-13;1;1
1192;83101945869;2019-09-08;3;0
1195;59121049621;2021-06-12;3;0
1196;67082180130;2019-03-18;2;0
1197;88102258204;2019-04-25;1;1
1198;92061245612;2019-01-09;2;1
1199;75043092145;2019-03-29;3;0
1202;58051232246;2020-02-22;2;1
1204;73100764862;2019-05-11;3;0
1206;73021175169;2019-06-21;2;1
1209;80081560286;2019-07-02;3;1
1212;72060419195;2019-04-10;1;1
1214;76093086711;2019-01-31;3;0
1215;63070981468;2019-01-30;2;1
1218;60112139537;2019-03-07;2;0
1220;67020789441;2019-08-12;3;0
1223;59031260545;2019-04-21;2;1
1224;75123022107;2019-01-21;2;1
1226;67122299167;2021-11-09;2;0
1229;56042584514;2019-11-21;3;1
1230;57051084723;2019-12-24;2;1
1233;76021882299;2019-08-02;2;0
1236;86011740579;2019-07-27;1;0
1237;66011175092;2019-08-18;1;0
1239;77030665710;2019-09-01;2;0
1242;94081798536;2019-07-19;3;1
1244;90083085630;2019-07-31;2;0
1246;87022679881;2021-01-19;2;0
1249;91121320948;2019-09-10;3;1
1250;81070540690;2021-02-14;2;0
1253;83012314307;2019-07-11;2;0
1255;92020921939;2019-09-18;2;1
1257;67100795090;2019-12-04;3;1
1259;89111085199;2019-11-09;3;0
1262;90012713883;2021-08-27;1;1
1263;92112869192;2019-12-04;3;1
1264;62111234169;2019-01-09;2;1
1266;72081518727;2019-11-14;3;1
1270;61120159427;2019-11-08;3;1
1272;86091339735;2019-12-22;2;0
1275;66121471765;2022-09-21;3;0
1277;76111672577;2019-01-08;2;0
1280;81101895764;2019-05-13;1;1
1283;74112960233;2019-12-31;1;1
1285;81070540690;2020-05-18;2;1
1288;63022446285;2019-09-24;3;1
1290;63101712735;2019-05-07;3;0
1292;78072670205;2019-11-16;3;1
1293;90031315729;2019-08-14;1;1
1295;81101895764;2020-06-14;1;1
1296;94040984325;2019-04-07;1;0
1298;82050858185;2019-07-29;1;0
1299;86102622234;2019-06-04;1;0
1301;78123027523;2019-11-16;2;1
1303;78031440254;2019-11-23;3;0
1304;74011851669;2019-08-06;2;1
1305;66030927975;2019-10-06;3;0
1307;80070475553;2020-07-12;3;0
1309;66121471765;2020-12-03;3;1
1311;81063082459;2021-02-07;2;1
1313;83101410525;2020-10-30;2;1
1316;60022260204;2019-05-03;2;1
1319;81063082459;2020-03-11;2;0
1320;78022650051;2019-06-12;1;0
1323;91090342958;2020-11-14;2;1
1326;57052293216;2019-06-19;2;0
1327;66031342294;2019-09-11;1;1
1329;69060980185;2019-04-16;1;0
1332;69052532280;2019-03-09;2;1
1333;92100516811;2019-06-21;2;0
1336;89012765532;2019-02-21;2;0
1337;91090342958;2021-11-14;2;1
1338;67073078488;2019-05-01;2;0
1340;94072521471;2019-12-27;1;0
1341;89012765532;2020-03-26;1;0
1343;70070735461;2020-05-25;2;0
1346;86111651722;2019-01-25;1;0
1348;67122299167;2019-02-19;2;0
1349;59121049621;2019-08-25;3;0
1351;58051232246;2019-03-30;2;1
1353;89071954645;2019-05-15;1;0
1355;94090640262;2019-09-02;1;1
1358;70102477659;2019-07-08;3;1
1361;87021749224;2019-01-23;2;1
1363;91101932400;2019-10-30;3;0
1365;89012765532;2022-01-13;1;0
1366;93031921462;2019-11-14;3;1
1368;81063082459;2019-05-14;1;0
1369;80070475553;2021-04-17;3;0
1371;86071248530;2020-01-07;2;1
1374;85082373985;2019-07-16;3;1
1376;85122957579;2019-12-12;3;1
1379;74061933209;2019-09-19;3;1
1381;85111118992;2019-05-26;1;1
1382;78081144207;2019-06-10;3;0
1383;90012713883;2019-12-06;1;1
1386;66120821431;2019-05-07;2;1
1389;71081957811;2019-01-07;2;1
1390;60022898913;2019-08-21;1;0
1392;56042584514;2021-11-09;1;0
1393;93022944308;2020-12-31;2;0
1396;92090589965;2019-05-02;3;0
1398;55122017980;2020-08-14;1;1
1403;87022679881;2021-08-10;3;0
1404;71101684828;2019-08-12;1;0
1406;89041363772;2019-08-15;3;0
1408;68080134930;2019-05-01;3;0
1410;76120426079;2019-12-12;3;0
1413;80110786357;2019-11-04;2;1
1416;94011552087;2019-10-31;3;0
1418;55122017980;2021-05-25;1;0
1420;55111311282;2019-03-07;2;1
1421;67010155766;2020-06-11;2;1
1422;91093011725;2019-10-27;2;1
1423;64010219412;2019-05-31;1;0
1424;88010139363;2019-01-25;1;1
1427;86071248530;2020-08-02;1;1
1430;78010723053;2019-06-12;1;1
1433;81070540690;2019-10-23;1;0
1434;66121471765;2019-11-24;2;0
1435;86071248530;2019-04-04;1;0
1438;91090342958;2020-02-05;2;1
1439;86071248530;2021-05-14;2;0
1441;71052212767;2019-04-02;3;0
1443;84061983227;2019-06-18;2;1
1444;67112310351;2019-03-17;1;1
1446;67080341739;2019-05-23;3;0
1448;84102613238;2019-03-17;2;1
1451;66121471765;2021-09-30;3;0
1454;89012765532;2021-03-19;2;0
1455;64021015971;2019-02-28;3;1
1458;79110267221;2019-04-19;3;1
1460;92112012576;2019-05-13;1;1
1461;80090274956;2019-04-03;1;1
1463;67061886332;2019-02-11;3;1
1465;81110790658;2019-08-05;2;1
1468;55122017980;2020-01-05;2;0
1469;77010361393;2019-10-17;2;1
1472;66031885478;2019-05-05;3;1
1475;86021481565;2019-06-07;2;1
1477;90012713883;2020-09-22;3;0
1480;59121049621;2020-08-23;1;0
1482;59030926631;2019-10-25;2;0
1484;83100933650;2019-12-13;3;1
1485;78031894008;2019-07-22;3;1
1486;74101110720;2019-05-29;2;1
1488;70102477659;2021-04-26;2;1
1490;57061732405;2019-07-09;2;0
1491;55050588767;2019-11-14;1;1
1493;87022679881;2019-04-29;2;0
1496;72110760510;2019-09-15;3;0
1498;80070475553;2019-12-13;2;0
1501;70070735461;2019-11-05;3;1
1504;76081859965;2019-02-25;1;1
1505;73101199009;2019-10-29;3;1
1506;74020810958;2019-03-02;1;1
1507;70102477659;2021-12-16;1;0
1509;89092640167;2020-03-06;2;1
1510;78080731457;2019-06-28;3;1
1512;67122299167;2020-11-09;2;1
1514;91090342958;2019-01-10;3;0
1517;90012713883;2022-06-07;2;1
1520;81101895764;2021-03-29;1;1
