Nr_medyczny;Nazwisko i Imiê;Pesel;Data_przyjêcia;Lekarz;Pomoc;Ubezpieczenie;Koszt leczenia
43;Pietrzyk Janusz;61110532506;19.01.2021;Micha³owski;Nastawianie z³amanej koœci;Pol-Plan Ubezpieczenia;1110
44;Flis Czes³aw;12250565002;19.01.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
45;GwóŸdŸ Eliza;45092715883;20.01.2021;Maliñski;Pomoc laryngologiczna;NFZ;690
46;Perkowska Oliwia;49052744014;20.01.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
47;Urbañski Albert;90100215563;23.01.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
48;Cichocki Piotr;38072070023;23.01.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
49;Frankowska Wiktoria;94100375436;23.01.2021;Pielecka;Pomoc kardiologiczna;Polisa zdrowotna;1260
50;Adamek Tymon;94092180366;23.01.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
51;Drabik Wies³aw;97060405603;24.01.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
52;Ambroziak Wiktor;64081002032;24.01.2021;Bobrzyñski;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
53;G³adysz Alfred;63091828188;24.01.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
54;Grabowski Ryszarda;78102106287;25.01.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
55;Komorowski Adam;48060230254;25.01.2021;Pielecka;Pomoc kardiologiczna;Polisa zdrowotna;1260
56;Szyszka Jakub;27012515085;28.01.2021;Kosiñska;Pomoc ambulatoryjna;NFZ;570
57;Adamczewska Wanda;19251131429;28.01.2021;Kosiñska;Pomoc okulistyczna;Polisa zdrowotna;930
58;Koprowski Bruno;71052171675;28.01.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
59;Sroka Regina;50080487057;30.01.2021;Kosiñska;Intensywna terapia;NFZ;2370
60;Gawe³ Justyna;92021412030;30.01.2021;Kalinowska;Intensywna terapia;NFZ;2370
61;Borowska Eleonora;40062351151;02.02.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
62;Szostak Brygida;63091352810;02.02.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
63;Jaros Janina;19240861519;02.02.2021;Maliñski;Pomoc okulistyczna;NFZ;930
64;Kusiak Tymon;09241263304;02.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
65;Malicka Maja;81021947729;03.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
66;Dró¿d¿ Cezar;94102343303;03.02.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
67;Krasowska Maria;38020845336;03.02.2021;Gronowski;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
68;Figura Zofia;60050107768;03.02.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
69;£oœ W³adys³awa;91082242224;03.02.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
70;Kasprzyk Natalia;71062276586;04.02.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
71;Krupiñski Borys;87042450082;04.02.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
72;Kêpa Juliusz;09280383517;04.02.2021;Kosiñska;Pomoc okulistyczna;NFZ;930
73;ŒledŸ Eugenia;19240830106;04.02.2021;Piotrecki;Pomoc kardiologiczna;Abonament medyczny;1260
74;Rutkowski Micha³;17231561024;05.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
75;Zawada Miko³aj;80050350416;05.02.2021;Micha³owski;Pomoc ambulatoryjna;NFZ;570
76;Ko³odziej Marek;83030640246;06.02.2021;Pielecka;Pomoc kardiologiczna;Polisa zdrowotna;1260
77;Kostrzewa Wac³aw;01282578065;06.02.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
78;Kruszewska Maria;64061466184;06.02.2021;Kalinowska;Pomoc okulistyczna;NFZ;930
79;Szczêsna Mateusz;61092104849;06.02.2021;Maliñski;Intensywna terapia;Pol-Plan Ubezpieczenia;2370
80;Œwi¹tkowska Maja;09232055451;06.02.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
81;Polañska Martyna;31052552634;06.02.2021;Kalinowska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
82;Kuliñski Miko³aj;98042164008;08.02.2021;Bobrzyñski;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
83;Borys Ryszarda;88042226068;08.02.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
84;Nowak Bart³omiej;44100532485;09.02.2021;Kalinowska;Pomoc laryngologiczna;NFZ;690
85;Staniszewski Robert;80061935554;09.02.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
86;Mrozek Amelia;40030483653;12.02.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
87;Duszyñska Anna;79050183111;12.02.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
88;Cichosz Stefan;53090687572;12.02.2021;Bobrzyñski;Pomoc kardiologiczna;Abonament medyczny;1260
89;Nadolska Maja;66092518818;12.02.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
90;Wierzbicki Filip;89030670858;13.02.2021;Maliñski;Intensywna terapia;Abonament medyczny;2370
91;Zaborowska Alicja;65051945546;13.02.2021;Bobrzyñski;Pomoc ambulatoryjna;Abonament medyczny;570
92;Dec Albert;35111114313;14.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
93;Rusin Matylda;89071957853;14.02.2021;Gronowski;Pomoc kardiologiczna;Polisa zdrowotna;1260
94;Mackiewicz Zuzanna;27031645671;14.02.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
95;Sojka Julia;92100521468;14.02.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
96;Bobrowski Wac³awa;89012765266;14.02.2021;Pielecka;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
97;Kolasiñska Gabriela;68061270086;14.02.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
98;Pasek Matylda;11270162204;14.02.2021;Pielecka;Pomoc laryngologiczna;NFZ;690
99;Wiœniowski Gustaw;63040681846;14.02.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
100;Kowalczyk Weronika;55110453772;15.02.2021;Pielecka;Intensywna terapia;NFZ;2370
101;Szyd³owska Blanka;64052247329;15.02.2021;Bobrzyñski;Intensywna terapia;NFZ;2370
102;Chmiel Ewelina;63070574453;15.02.2021;Maliñski;Pomoc kardiologiczna;Abonament medyczny;1260
103;Kubica Monika;74061183284;15.02.2021;Kosiñska;Pomoc ambulatoryjna;NFZ;570
104;Kubicki Igor;03250753528;17.02.2021;Gronowski;Pomoc ambulatoryjna;NFZ;570
105;S³owiñska Ró¿a;59040466066;17.02.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
106;Kwiecieñ Jerzy;04301567174;18.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
107;Bochenek Dariusz;18250301152;18.02.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
108;Kawecka Renata;65062274651;18.02.2021;Micha³owski;Pomoc ambulatoryjna;NFZ;570
109;Jaroszewska Lena;43100983536;18.02.2021;Piotrecki;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
110;¯ak Sylwia;54100441236;20.02.2021;Gronowski;Pomoc okulistyczna;NFZ;930
111;Burzyñska Diana;09252602846;20.02.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
112;Cichy Zuzanna;49020746237;20.02.2021;Micha³owski;Intensywna terapia;NFZ;2370
113;Piechocka Patrycja;77072310384;20.02.2021;Kosiñska;Szycie ran;NFZ;510
114;Jasiñska Lena;48100727328;21.02.2021;Kalinowska;Nastawianie z³amanej koœci;NFZ;1110
115;Urban Aleksandra;25061186661;21.02.2021;Piotrecki;Pomoc ambulatoryjna;Abonament medyczny;570
116;Romanowska Magdalena;23070573876;21.02.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
117;Madej Rados³awa;99111273128;21.02.2021;Maliñski;Intensywna terapia;NFZ;2370
118;Krawiec Szymon;68031702126;21.02.2021;Gronowski;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
119;£ukasiewicz Rados³awa;37042510389;21.02.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
120;¯muda Maja;15260663238;21.02.2021;Kosiñska;Pomoc kardiologiczna;Polisa zdrowotna;1260
121;Dziuba Mariusz;07310513345;21.02.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
122;Pi³at Marta;29060763762;21.02.2021;Piotrecki;Pomoc okulistyczna;NFZ;930
123;Wojtkowiak Lena;73070274017;21.02.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
124;Kos Borys;01311327345;21.02.2021;Gronowski;Pomoc kardiologiczna;Polisa zdrowotna;1260
125;Turowski Maciej;47042306271;21.02.2021;Kalinowska;Nastawianie z³amanej koœci;Pol-Plan Ubezpieczenia;1110
126;£awniczak Bo¿ydar;16272014221;21.02.2021;Pielecka;Pomoc okulistyczna;Abonament medyczny;930
127;Olech Zuzanna;10222164882;21.02.2021;Bobrzyñski;Pomoc ambulatoryjna;NFZ;570
128;Partyka Marcin;03280162750;22.02.2021;Kalinowska;Pomoc laryngologiczna;Abonament medyczny;690
129;Prus Paulina;62031655729;22.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
130;Ryœ Zbigniew;85050646385;22.02.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
131;Brodowski Bruno;01290437105;22.02.2021;Maliñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
132;Nowicki Bartosz;16270641160;23.02.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
133;Banach Alina;19251757638;23.02.2021;Kosiñska;Intensywna terapia;NFZ;2370
134;Makowska Józefina;06250442265;24.02.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
135;Olejnik Aleksy;55070802012;24.02.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
136;Szymczyk Bo¿ydar;30082474280;24.02.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
137;£ukaszewska Julia;82072583546;24.02.2021;Bobrzyñski;Pomoc laryngologiczna;Polisa zdrowotna;690
138;Jagielska Ada;17210722149;24.02.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
139;Doliñska Aldona;31030477072;24.02.2021;Maliñski;Pomoc okulistyczna;NFZ;930
140;Jakubowska Natalia;89110904372;25.02.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
141;Leœniewski Bogus³aw;83020864041;25.02.2021;Kalinowska;Szycie ran;NFZ;510
142;Stanek Filip;25012107723;25.02.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
143;Wo³oszyn Dawid;80050908770;25.02.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
144;Balicka S³awomira;56051031254;25.02.2021;Pielecka;Pomoc laryngologiczna;Abonament medyczny;690
145;Jankowska Wanda;74080303263;26.02.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
146;Janik Bo¿ena;55091278216;26.02.2021;Pielecka;Pomoc ambulatoryjna;Polisa zdrowotna;570
147;Cichoñ Micha³;89022561672;26.02.2021;Pielecka;Pomoc ambulatoryjna;NFZ;570
148;Grzesiak Aleksander;00211924580;26.02.2021;Kosiñska;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
149;Fr¹tczak El¿bieta;75090851207;28.02.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
150;Stawicki Radomir;41021143532;28.02.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
151;Filip Jan;98031332131;28.02.2021;Gronowski;Intensywna terapia;NFZ;2370
152;Franczak Wac³awa;64020186346;28.02.2021;Kalinowska;Intensywna terapia;NFZ;2370
153;Lewicki Maksymilian;51061841778;01.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
154;Iwañska Ryszarda;78032046466;01.03.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
155;Kowalczuk Oliwia;23052322247;01.03.2021;Micha³owski;Pomoc laryngologiczna;Polisa zdrowotna;690
156;Korczak Oliwia;80102780822;01.03.2021;Pielecka;Pomoc okulistyczna;NFZ;930
157;Skowroñski Boles³w;93072131448;02.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
158;Bujak Rozalia;41111570354;02.03.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
159;Stachurska Magdalena;64011761321;03.03.2021;Kalinowska;Intensywna terapia;Polisa zdrowotna;2370
160;Tkacz Dawid;94060404465;03.03.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
161;Owczarek Robert;40111788352;04.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
162;Mas³owska Ewa;25070603463;04.03.2021;Kalinowska;Intensywna terapia;NFZ;2370
163;Surma Stanis³aw;22291134280;04.03.2021;Piotrecki;Szycie ran;NFZ;510
164;Pucha³a Eliza;38021551869;04.03.2021;Bobrzyñski;Nastawianie z³amanej koœci;NFZ;1110
165;Tomaszewski Witold;08211865667;05.03.2021;Pielecka;Intensywna terapia;NFZ;2370
166;Strzelecki Aleksander;54040270835;05.03.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
167;Augustyn Bartosz;70071418480;05.03.2021;Kosiñska;Pomoc ambulatoryjna;Pol-Plan Ubezpieczenia;570
168;Warzecha Stefan;19232717619;05.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
169;Pawlak Matylda;36071524468;06.03.2021;Pielecka;Pomoc okulistyczna;NFZ;930
170;Bieniek Stanis³aw;56112327553;06.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
171;Œwierczyñska Julia;78020268834;07.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
172;Porêbska Dagmara;01260605419;07.03.2021;Piotrecki;Pomoc kardiologiczna;Polisa zdrowotna;1260
173;Sêk Emilia;48052351279;07.03.2021;Kalinowska;Intensywna terapia;Polisa zdrowotna;2370
174;Ko³odziejczak Damian;28022331876;07.03.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
175;Kawalec Józefina;54112033847;07.03.2021;Kalinowska;Pomoc okulistyczna;NFZ;930
176;Niemiec Dawid;73031341673;08.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
177;Czechowska Anna;61020466883;08.03.2021;Gronowski;Pomoc ambulatoryjna;NFZ;570
178;Wojtasik Wiktor;48030248481;09.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
179;Gliñski Mateusz;13241364613;09.03.2021;Micha³owski;Pomoc ambulatoryjna;NFZ;570
180;Marciniak Jan;71070905227;10.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
181;Mielczarek Zbigniew;25041114376;10.03.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
182;Bielak Sylwia;30112007549;10.03.2021;Kosiñska;Pomoc kardiologiczna;Polisa zdrowotna;1260
183;Królak Jakub;69011408515;10.03.2021;Bobrzyñski;Nastawianie z³amanej koœci;NFZ;1110
184;Czajka Mateusz;80092413836;11.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
185;Bukowska Nikola;45030971269;11.03.2021;Pielecka;Intensywna terapia;NFZ;2370
186;Krakowiak Patryk;28050965777;11.03.2021;Gronowski;Intensywna terapia;Abonament medyczny;2370
187;Kopczyñska Weronika;14290406020;11.03.2021;Piotrecki;Pomoc ambulatoryjna;Polisa zdrowotna;570
188;Zdunek Matylda;36111556022;11.03.2021;Micha³owski;Pomoc kardiologiczna;Abonament medyczny;1260
189;Piêtka El¿bieta;38032000660;11.03.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
190;Weso³owska Marcelina;82040631514;12.03.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
191;Brzozowska Magdalena;04240668020;12.03.2021;Piotrecki;Intensywna terapia;NFZ;2370
192;Drzewiecka Zofia;74090325323;12.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
193;G¹sior Rozalia;71030443327;12.03.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
194;D¹bkowska Weronika;12281702403;12.03.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
195;Jurkowska Magdalena;99072155303;12.03.2021;Micha³owski;Intensywna terapia;NFZ;2370
196;Pogorzelska Gabriela;85020436712;12.03.2021;Gronowski;Pomoc okulistyczna;Pol-Plan Ubezpieczenia;930
197;Karcz Dagmara;28081060153;12.03.2021;Maliñski;Pomoc okulistyczna;NFZ;930
198;Œliwiñska Natalia;76040357484;13.03.2021;Kalinowska;Nastawianie z³amanej koœci;Polisa zdrowotna;1110
199;Ka³u¿a Dawid;76012274409;13.03.2021;Piotrecki;Szycie ran;Abonament medyczny;510
200;Stefaniak Agata;03270976639;14.03.2021;Maliñski;Pomoc okulistyczna;NFZ;930
201;Jaœkiewicz Bo¿ydar;24030913688;14.03.2021;Micha³owski;Intensywna terapia;NFZ;2370
202;Micha³ek W³odzimierz;26101010524;15.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
203;Szuba Piotr;86110420538;15.03.2021;Gronowski;Pomoc ambulatoryjna;NFZ;570
204;Adamski Antoni;34090213752;16.03.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
205;Witczak Adela;71081227073;16.03.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
206;Pawlik Eugenia;61081928364;17.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
207;Lipska Daria;12292176734;17.03.2021;Gronowski;Intensywna terapia;NFZ;2370
208;Wawrzyniak Martyna;67091420661;18.03.2021;Bobrzyñski;Pomoc kardiologiczna;NFZ;1260
209;Cygan Bartosz;48050613272;18.03.2021;Kosiñska;Intensywna terapia;NFZ;2370
210;D¹browski Bartosz;88070461477;19.03.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
211;Ziêba Magdalena;28050943052;19.03.2021;Gronowski;Intensywna terapia;Polisa zdrowotna;2370
212;Rudnicka Magdalena;24112437477;19.03.2021;Kosiñska;Pomoc kardiologiczna;NFZ;1260
213;Filipek Sebastian;77052176771;19.03.2021;Bobrzyñski;Pomoc kardiologiczna;Abonament medyczny;1260
214;Niedzielska Aleksandra;66092084421;19.03.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
215;KuŸma Maksym;91112770611;19.03.2021;Micha³owski;Pomoc laryngologiczna;Polisa zdrowotna;690
216;Kozera Hanna;86031758701;19.03.2021;Kosiñska;Pomoc laryngologiczna;NFZ;690
217;Nawrocka Emilia;70101940185;20.03.2021;Gronowski;Pomoc laryngologiczna;NFZ;690
218;Zarêba Zuzanna;09311028181;20.03.2021;Maliñski;Pomoc kardiologiczna;Abonament medyczny;1260
219;Grzywacz Igor;54070142858;20.03.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
220;Kita Gabriela;70071918133;20.03.2021;Piotrecki;Pomoc kardiologiczna;NFZ;1260
221;Sobañska Wiktoria;54082605785;20.03.2021;Kalinowska;Pomoc ambulatoryjna;NFZ;570
222;Werner Stanis³aw;80021124314;20.03.2021;Pielecka;Pomoc laryngologiczna;Abonament medyczny;690
223;Brzeski Czes³aw;67042124880;20.03.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
224;Duda W³adys³aw;33042228459;21.03.2021;Pielecka;Pomoc kardiologiczna;NFZ;1260
225;B¹k Cyprian;75072261068;21.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
226;Œliwa Renata;90050883443;21.03.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
227;Kaczyñska Amanda;24101672447;21.03.2021;Gronowski;Szycie ran;NFZ;510
228;Grzelak Micha³;49102201067;22.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
229;Skibiñski Zygmunt;31041332320;22.03.2021;Kosiñska;Intensywna terapia;NFZ;2370
230;Rudzka Monika;61082001701;22.03.2021;Micha³owski;Pomoc laryngologiczna;Abonament medyczny;690
231;Jaskulski Roksana;06221564839;22.03.2021;Maliñski;Pomoc laryngologiczna;NFZ;690
232;Kotowska Amelia;81050252388;23.03.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
233;Roman Maria;24010567267;23.03.2021;Pielecka;Pomoc ambulatoryjna;Abonament medyczny;570
234;Król Amelia;91091918154;25.03.2021;Kalinowska;Pomoc kardiologiczna;NFZ;1260
235;Jaworska Bogna;09250202246;25.03.2021;Pielecka;Pomoc kardiologiczna;Abonament medyczny;1260
236;Sadowski Miko³aj;81100566551;25.03.2021;Gronowski;Pomoc laryngologiczna;Polisa zdrowotna;690
237;Osiñski Przemys³aw;61041937058;25.03.2021;Bobrzyñski;Pomoc laryngologiczna;Polisa zdrowotna;690
238;Gruszka Gabriela;66100508729;25.03.2021;Bobrzyñski;Pomoc ambulatoryjna;NFZ;570
239;Siwek Bohdan;47070218434;25.03.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
240;Janiak Stanis³aw;29021903619;25.03.2021;Bobrzyñski;Nastawianie z³amanej koœci;NFZ;1110
241;G¹siorowska Weronika;39082175610;25.03.2021;Piotrecki;Pomoc kardiologiczna;Abonament medyczny;1260
242;Flak Wojciech;18221533016;25.03.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
243;Tokarz Wiktor;57031440471;25.03.2021;Bobrzyñski;Pomoc kardiologiczna;Polisa zdrowotna;1260
244;Janicki Jakub;92061900249;26.03.2021;Bobrzyñski;Pomoc okulistyczna;NFZ;930
245;Jêdrzejczak Ryszard;06250831351;26.03.2021;Maliñski;Pomoc okulistyczna;NFZ;930
246;Januszewski Czes³aw;09220542710;26.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
247;Kozik Maciej;68070340123;26.03.2021;Micha³owski;Pomoc kardiologiczna;NFZ;1260
248;Sosnowski Radomir;01242468160;27.03.2021;Micha³owski;Pomoc laryngologiczna;Polisa zdrowotna;690
249;Nowaczyk Martyna;22302222803;27.03.2021;Micha³owski;Pomoc okulistyczna;NFZ;930
250;Kuchta Aleksander;84080740672;27.03.2021;Kosiñska;Pomoc kardiologiczna;Pol-Plan Ubezpieczenia;1260
251;Bia³kowski Wojciech;64011186252;27.03.2021;Maliñski;Pomoc laryngologiczna;Pol-Plan Ubezpieczenia;690
252;Bury Martyna;54080730535;27.03.2021;Gronowski;Pomoc kardiologiczna;NFZ;1260
253;Wyrzykowski Adam;22301758033;27.03.2021;Piotrecki;Pomoc laryngologiczna;NFZ;690
254;Tomczyk Aleksandra;10230541228;28.03.2021;Maliñski;Pomoc kardiologiczna;NFZ;1260
255;Bogucka Brygida;03292535751;28.03.2021;Kalinowska;Pomoc kardiologiczna;Abonament medyczny;1260
