KLASA;NAZWISKO;IMIE;ŒREDNIA;FREKWENCJA
E;Paw³owska;Anna;4,97;80
E;Sarosiek;Natalia;4,3;77
E;Czarny;Pawe³;4,35;75
E;Kraska;Artur;5,34;100
E;Dwojak;Tomasz;3,62;61
E;Antczak;Marcin;4,46;61
E;Winiecka;Agnieszka;3,34;92
E;Lemañska;Monika;3,69;87
E;Stempkowski;Rafa³;3,72;79
E;Szkoda;Karolina;3,53;80
E;Trybuœ;Bart³omiej;2,16;61
E;Sokólski;Piotr;5,35;89
E;Baran;Micha³;2,83;64
E;Hajdukiewicz;Grzegorz;4,79;87
E;Jaworska;Estera;4,38;92
E;Beringer;Micha³;5,09;89
E;Musia³a;Krzysztof;3,9;64
E;Talar;Jan;5,24;96
E;Kowalczyk;Jakub;4,04;94
E;Borucki;Micha³;4,88;85
E;Majer;Agnieszka;4,57;82
E;Konopiñski;Wojciech;5,89;93
E;Tobolski;Tymon;3,91;66
F;Kozak;Aleksander;3,33;67
F;Dra¿niuk;Marta;4,9;94
F;Kamyszek;Patrycja;4,9;79
F;S³awiñska;Magdalena;2,3;55
F;Stêpieñ;Urszula;2,85;87
F;Zbylut;Katarzyna;2,8;53
F;Czajkowska;Agnieszka;4,81;73
F;£ukasik;Dorota;4,01;71
F;Kabaciñska;Joanna;2,65;86
F;Janicka;Katarzyna;4,83;92
F;Borkowska;Ludmi³a;4,35;69
F;Jañczak;Anna;3,03;75
F;Marynowska;Milena;4,64;78
F;Górska;Anna;4,93;83
F;Rzepecka;Aleksandra;4,22;100
F;Jankowska;Joanna;4,82;91
F;Galas;Monika;4,93;76
F;KaŸmierczak;Anna;4,89;100
F;Wêgierska;Ewa;4,95;82
F;Gehrmann;Agata;2,73;82
F;Bomberski;Aleksander;4,98;80
F;Guza;Katarzyna;2;63
F;H³ond;Aleksandra;4,77;87
F;Ciemny;Sylwia;5,07;83
F;Lackowski;Krzysztof;4,49;95
F;Kuczma;Dominika;4,48;64
F;Chojnacki;Micha³;3,21;80
F;Arczewska;Barbara;5,19;93
F;Pa³aszewska;Martyna;4,55;94
F;Bredow;Katarzyna;3,58;95
F;Orlicki;Dorian;4,58;90
F;Borowik;Karolina;4,31;79
F;Jêdryczka;Paulina;2,59;53
F;Pietraszko;Ma³gorzata;2,81;89
F;M¹kowska;Kamila;3,72;61
F;Dobrzyñska;Marta;2,09;97
F;Maternowski;Pawe³;2,23;68
G;Ruczyñski;Micha³;6;100
G;Kuta;Ewelina;5,06;75
G;Tyczyñski;Miko³aj;3,76;68
G;Kasica;Adrian;5,11;85
G;Rybak;Agata;4,66;87
G;Radzik;Ewelina;2,04;94
G;B³aczkowski;Rafa³;2,2;51
G;Wietecka;Zuzanna;2,68;63
G;Karaœ;Marta;3,77;86
G;Dembski;Sebastian;4,92;76
G;So³obodowska;Weronika;4,94;80
G;Zagozda;Anna;4,79;77
G;Tyma;Martyna;2,79;63
G;Teodorczyk;Alina;3,65;92
G;Michalska;Karolina;4,37;87
G;Paw³owska;Sandra;4,31;97
G;Jaroch;Karol;5;73
G;Nowak;B³a¿ej;5,74;97
G;Wirszy³³o;Karina;4,73;74
G;Rawska;Dominika;2,03;53
G;Puzinowska;Nastazja;3,42;99
G;Jarz¹b;Katarzyna;4,96;92
G;Urtnowska;Katarzyna;4,24;71
G;Kasprowicz;Michalina;4,95;81
G;Semrau;Dominika;4,18;92
G;Stró¿;Angelika;4,67;74
G;Bartelak;Agata;3,82;62
G;Kornatowski;Maciej;2,08;95
G;Jurek;Anna;2,24;51
G;Lissowska;Aleksandra;5,31;85
H;Nowak;Aleksandra;5;97
H;Nowak;Agnieszka;2,87;69
H;Ramczyk;Beata;3,11;78
H;Grabowicz;Zuzanna;4,75;71
H;Kumkowska;Aleksandra;5,92;92
H;Czubiñska;Marta;3,03;69
H;Kunde;Sandra;4,6;96
H;Rybczyñski;Marcin;2,03;100
H;Kury³o;Dominika;3,77;76
H;Dampc;Marta;4,67;77
H;Kubiak;Agnieszka;4,92;77
H;Guz;Olga;4,05;73
H;Borucki;Pawe³;3,71;85
H;Zió³kowska;Agnieszka;2,99;79
H;Michalak;Angelika;4,95;84
H;Najdowska;Justyna;4,96;73
H;Dembiñska;Anna;4,96;75
H;Jagodziñski;Kajetan;3,51;65
H;Koziorzemska;Monika;2,04;68
H;Reimann;Martyna;5,83;99
H;Kukliñska;Karolina;3,39;53
H;Betlejewski;Patryk;3,95;77
H;D³uski;Marcin;5,47;95
H;Andrzejczak;Mariola;2,95;85
H;Sidor;Anna;3,13;84
H;Kozdroñ;Natalia;4,51;87
H;Sala;Edyta;5,38;98
H;Ryska;Agnieszka;2,11;63
H;Szab³owska;Agata;2,77;59
H;Olczak;Dagmara;4;96
H;Marcisz;Pamela;4,73;74
H;Adamkiewicz;Filip;5,55;86
